S,Slope
13.0976155,0.00897364
13.25484352,0.030286035
13.36363636,0.062254627
13.52533532,0.062254627
13.62965723,0.07646289
13.79582712,0.016077772
13.90461997,0.058702561
14.07600596,0.048046364
14.18852459,0.040942232
14.35991058,0.207889325
14.47690015,0.60216863
14.64828614,0.971583474
14.76527571,0.772667788
14.94560358,0.82239671
15.06780924,0.094223219
15.24813711,0.268274444
15.36959762,0.49205459
15.55439642,0.353524023
15.68107303,0.303795102
15.87034277,0.001869508
15.99627422,0.538231445
16.1900149,0.552439708
16.32116244,1.223780146
16.51490313,1.94840157
16.64977645,1.010656197
16.85320417,0.143952141
16.9880775,0.648345485
17.19076006,1.525705739
17.32637854,4.19330716
17.53800298,3.813236119
17.6780924,1.742381754
17.89418778,4.381566648
18.0342772,4.150682371
18.25484352,4.779398018
18.39940387,4.736773229
18.62444113,4.552065807
18.77347243,5.244718639
18.99925484,5.081323612
19.15201192,3.738642737
19.38226528,3.529070854
19.54023845,5.276687231
19.77421759,4.118713778
19.93219076,4.662179847
20.17138599,3.440269209
20.33830104,3.79547579
20.58122206,5.575060759
20.74366617,5.994204524
20.99627422,5.347728547
21.16766021,6.129183025
21.42026826,5.766872313
21.59165425,5.592821088
21.85320417,5.646102075
22.0290611,7.514488689
22.29433681,10.06131987
22.56035768,9.450364554
22.74590164,7.940736586
23.02086438,9.272761264
23.20566319,10.73621238
23.48509687,11.96522715
23.67436662,7.983361376
23.96274218,7.446999439
24.15201192,11.85156104
24.44038748,13.18358572
24.63934426,12.93849318
24.9366617,8.555243971
25.13934426,11.00261731
25.44187779,15.35034586
25.64456036,13.46419892
25.95529061,15.60964666
26.16318927,15.13011778
26.47839046,16.48345485
26.69076006,20.16694709
27.01043219,15.32903346
27.23174367,10.39876612
27.56035768,5.365488876
27.78166915,4.782950084
28.11549925,4.143578239
28.34053651,3.610768368
28.68330849,3.35501963
28.91281669,0.555991774
29.26005961,0.694522341
29.49925484,0.22920172
29.85543964,1.053280987
30.09463487,1.589642924
30.45529061,0.872125631
30.70342772,0.058702561
31.07302534,0.318003365
31.32488823,0.030286035
31.69970194,0.122639746
31.95678092,0.001869508
32.33979136,0.001869508
32.60134128,0.001869508
32.99329359,0.001869508
33.25931446,0.001869508
33.6609538,0.001869508
33.9314456,0.417461208
34.34128167,0.211441391
34.61624441,0.264722378
35.03576751,0.680314077
35.31520119,1.255748738
35.74366617,1.444008226
36.02757079,1.117218172
36.46497765,0.687418209
36.75782414,0.442325668
37.19970194,0.048046364
37.49701937,0.00897364
